PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Tema,Total de egresos,32932722666,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Capítulo,Servicios personales,2076282455,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Concepto,Remuneraciones al personal,908737863,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Despacho del ejecutivo estatal,36810249,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Secretaría general de gobierno,107923040,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Secretaría de finanzas y administración,76113746,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Secretaría de salud,3744018,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Secretaría de obras públicas y comunicaciones,73303959,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Secretaría de fomento económico,26002565,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Secretaría de turismo,18648911,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Secretaría del medio ambiente,28928421,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Secretaría de planeación,30579874,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Secretaría de desarrollo social,49403101,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Secretaría de fomento agropecuario y forestal,21699549,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Seguridad pública y tránsito,303578204,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Contraloría general del estado,20177450,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2023,01,Egresos,Partida Genérica,Oficialía mayor,42179095,Cifras Definitivas
