PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Tema,Total de egresos,22524089000,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Capítulo,Servicios personales,1278406801,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Concepto,Remuneraciones al personal,620433456,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Despacho del ejecutivo estatal,25956622,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Secretaría general de gobierno,57585631,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Secretaría de finanzas y administración,56125490,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Secretaría de obras públicas y comunicaciones,43275532,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Secretaría de fomento económico,12291078,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Secretaría de turismo,12467663,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Secretaría del medio ambiente,23204104,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Secretaría de planeación,10044099,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Secretaría de desarrollo social,16643385,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Secretaría de fomento agropecuario y forestal,15975512,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Seguridad pública y tránsito,148310939,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Procuraduría general de justicia,123008612,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Contraloría general del estado,14104790,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Oficialía mayor,37524342,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Dependencias diversas,23915657,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Concepto,Remuneraciones adicionales y especiales,403015436,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Primas por años de servicios efectivos prestados,9935618,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,"Primas de vacaciones, dominical y gratificación de fin de año",145376239,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Compensaciones,247703579,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Concepto,Seguridad social,153877618,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Aportaciones de seguridad social,137015533,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Aportaciones a fondos de vivienda,5697323,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Aportaciones al sistema para el retiro,6511258,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Aportaciones para seguros,4653504,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Concepto,Otras prestaciones sociales y económicas,80096985,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Cuotas para el fondo de ahorro y fondo de trabajo,8139220,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Indemnizaciones,33020318,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Prestaciones y haberes de retiro,9575207,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Prestaciones contractuales,24535394,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Otras prestaciones sociales y económicas,4826846,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Concepto,Pago de estímulos a servidores públicos,20983306,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Estímulos,20983306,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Capítulo,Materiales y suministros,167258268,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Concepto,"Materiales de administración, emisión de documentos y artículos oficiales",55432047,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,"Materiales, útiles y equipos menores de oficina",5364642,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Materiales y útiles de impresión y reproducción,51900,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Material estadístico y geográfico,6320,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,"Materiales, útiles y equipos menores de tecnologías de la información y comunicaciones",7042578,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Material impreso e información digital,489710,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Material de limpieza,1501734,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Materiales y útiles de enseñanza,324422,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Materiales para el registro e identificación de bienes y personas,40650741,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Concepto,Alimentos y utensilios,31144622,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Productos alimenticios para personas,29595419,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Productos alimenticios para animales,1430996,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Utensilios para el servicio de alimentación,118207,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Concepto,"Herramientas, refacciones y accesorios menores",2864482,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Herramientas menores,253986,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Refacciones y accesorios menores de edificios,85143,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,"Refacciones y accesorios menores de mobiliario y equipo de administración, educacional y recreativo",72077,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Refacciones y accesorios menores de equipo de cómputo y tecnologías de la información,731714,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Refacciones y accesorios menores de equipo de transporte,51314,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Refacciones y accesorios menores de equipo de defensa y seguridad,183670,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Refacciones y accesorios menores de maquinaria y otros equipos,1380531,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Refacciones y accesorios menores otros bienes muebles,106047,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Concepto,Materiales y artículos de construcción y de reparación,3308760,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Productos minerales no metálicos,72600,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Cemento y productos de concreto,25219,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,"Cal, yeso y productos de yeso",13290,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2015,01,Egresos,Partida Genérica,Madera y productos de madera,113997,Cifras Definitivas
