PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Tema,Total de egresos,19791612196,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Capítulo,Servicios personales,1169774788,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Concepto,Remuneraciones al personal,567104833,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Despacho del ejecutivo estatal,23611212,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Secretaría general de gobierno,44089402,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Secretaría de finanzas y administración,45619668,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Secretaría de obras públicas y comunicaciones,41470287,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Secretaría de fomento económico,13096985,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Secretaría de turismo,11004650,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Secretaría del medio ambiente,20809536,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Secretaría de planeación,8763845,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Secretaría de desarrollo social,14142071,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Secretaría de fomento agropecuario y forestal,15758175,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Seguridad pública y tránsito,148425230,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Procuraduría general de justicia,111608317,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Contraloría general del estado,11310739,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Oficialía mayor,35215743,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Dependencias diversas,22178973,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Concepto,Remuneraciones adicionales y especiales,369156604,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Primas por años de servicios efectivos prestados,9199228,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,"Primas de vacaciones, dominical y gratificación de fin de año",131320265,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Compensaciones,228637111,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Concepto,Seguridad social,136322305,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Aportaciones de seguridad social,121368645,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Aportaciones a fondos de vivienda,5171453,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Aportaciones al sistema para el retiro,5910205,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Aportaciones para seguros,3872002,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Concepto,Otras prestaciones sociales y económicas,78892611,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Cuotas para el fondo de ahorro y fondo de trabajo,7387673,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Indemnizaciones,40156909,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Prestaciones y haberes de retiro,5672023,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Prestaciones contractuales,21288464,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Otras prestaciones sociales y económicas,4387542,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Concepto,Pago de estímulos a servidores públicos,18298435,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Estímulos,18298435,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Capítulo,Materiales y suministros,150262917,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Concepto,"Materiales de administración, emisión de documentos y artículos oficiales",60375894,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,"Materiales, útiles y equipos menores de oficina",4669888,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,Materiales y útiles de impresión y reproducción,1890167,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2013,01,Egresos,Partida Genérica,"Materiales, útiles y equipos menores de tecnologías de la información y comunicaciones",7478003,Cifras Definitivas
